,,,,,,,28/07/2026,RELATÓRIO BAHIA ATUALIZADO,,,,28/07/2026,,EM VERDE DATA REPROGRAMADA,,28/07/2026,,,,,,,,
,,,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,28/07/2026 10:10:01,,,,DÚVIDA CLICA AQUI,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,
Coluna 1,cartela,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,LOTES,código OS,DT. RECEBIMENTO,DT. ENTREGA,PRAZO,POSIÇÃO NA PRODUÇÃO,DATA SISTEMA,Coluna 2,DATA ALTERADA,cartelas,CÓDIGO ALTERADO,Column 24,códigos do sistema,conta e ordem
199,OK,DASS SEST,7,139279,1360726,95705,ATAC. MR140014 6MM RECICLADO COR 057/PET,105CM,15775190,216,133899,15773832NBR3282851,02/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1360726,NIKE,
200,OK,DASS SEST,7,139279,1360726,95705,ATAC. MR140014 6MM RECICLADO COR 057/PET,105CM,15775190,234,133899,15773833NBR3282851,02/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1360726,NIKE,
201,OK,DASS SEST,7,139279,1360726,95705,ATAC. MR140014 6MM RECICLADO COR 057/PET,110CM,15775190,633,133899,15773832NBR3282851,02/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1360726,NIKE,
202,OK,DASS SEST,7,139279,1360726,95705,ATAC. MR140014 6MM RECICLADO COR 057/PET,110CM,15775190,636,133899,15773833NBR3282851,02/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1360726,NIKE,
203,OK,DASS SEST,7,139279,1360726,95705,ATAC. MR140014 6MM RECICLADO COR 057/PET,115CM,15775190,252,133899,15773832NBR3282851,02/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1360726,NIKE,
204,OK,DASS SEST,7,139279,1360726,95705,ATAC. MR140014 6MM RECICLADO COR 057/PET,115CM,15775190,264,133899,15773833NBR3282851,02/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1360726,NIKE,
232,OK,DASS SEST,7,139294,1406217,95486,FITA M31119 C/ GOMA POLIESTER COR 447 / COR 100 / COR 100,16MM,15777761,320,133931,0,02/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1406217,FILA,
251,OK,DASS SEST,7,139564,1299257,86978,ATAC. MR130027 6MM RECICLADO COR 4085/PET,100CM,15816408,216,134311,15815470NBR3282759,11/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1299257,NIKE,
252,OK,DASS SEST,7,139564,1299257,86978,ATAC. MR130027 6MM RECICLADO COR 4085/PET,100CM,15816408,259,134311,15815471NBR3282759,11/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1299257,NIKE,
253,OK,DASS SEST,7,139564,1299257,86978,ATAC. MR130027 6MM RECICLADO COR 4085/PET,105CM,15816408,730,134311,15815470NBR3282759,11/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1299257,NIKE,
254,OK,DASS SEST,7,139564,1299257,86978,ATAC. MR130027 6MM RECICLADO COR 4085/PET,105CM,15816408,746,134311,15815471NBR3282759,11/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1299257,NIKE,
255,OK,DASS SEST,7,139564,1299257,86978,ATAC. MR130027 6MM RECICLADO COR 4085/PET,110CM,15816408,192,134311,15815470NBR3282759,11/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1299257,NIKE,
256,OK,DASS SEST,7,139564,1299257,86978,ATAC. MR130027 6MM RECICLADO COR 4085/PET,110CM,15816408,234,134311,15815471NBR3282759,11/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1299257,NIKE,
285,OK,DASS SEST,7,139572,1200469,74007,FITA M32164 C/ GOMA POLIESTER COR 4085,10MM,15816765,70,134323,0,11/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1200469,NIKE,
286,OK,DASS SEST,7,139572,1247438,83739,FITA M32164 C/ GOMA POLIESTER COR 4662,10MM,15816765,100,134323,0,11/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1247438,NIKE,
287,OK,DASS SEST,7,139572,1233820,84961,FITA M32164 C/ GOMA POLIESTER COR 4021,10MM,15816765,130,134323,0,11/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1233820,NIKE,
331,OK,DASS SEST,7,139649,1247438,83739,FITA M32164 C/ GOMA POLIESTER COR 4662,10MM,15820075,80,134359,0,12/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1247438,NIKE,
332,OK,DASS SEST,7,139649,1233820,84961,FITA M32164 C/ GOMA POLIESTER COR 4021,10MM,15820075,90,134359,0,12/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1233820,NIKE,
395,OK,DASS SEST,7,139932,1271908,86226,FITA M32207 C/ GOMA POLIESTER COR 100 / COR 5535 / COR 100,15MM,15849658,300,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1271908,FILA,
396,OK,DASS SEST,7,139932,1289388,87886,FITA M32207 C/ GOMA POLIESTER COR 100 / COR 102 / COR 100,15MM,15849658,160,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1289388,FILA,
397,OK,DASS SEST,7,139932,1287981,87581,FITA M41476 C/ GOMA POLIESTER COR 102 / COR 5508,12MM,15849658,420,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1287981,FILA,
398,OK,DASS SEST,7,139932,1287984,89070,FITA M41476 C/ GOMA POLIESTER COR 114/ COR 5508,12MM,15849658,130,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1287984,FILA,
399,OK,DASS SEST,7,139932,1356824,90475,FITA M41476 C/ GOMA POLIESTER COR 5508 / COR 102,12MM,15849658,80,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1356824,FILA,
400,OK,DASS SEST,7,139932,1356830,90932,FITA M41476 C/ GOMA POLIESTER COR 5855 / COR 114,12MM,15849658,120,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1356830,FILA,
401,OK,DASS SEST,7,139932,1287983,95045,FITA M41476 C/ GOMA POLIESTER COR 100 / COR 5508,12MM,15849658,120,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1287983,FILA,
402,OK,DASS SEST,7,139932,108955,70164,FITA MFGP C/ GOMA POLIESTER COR 100,8MM,15849658,120,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,108955,FILA,
404,OK,DASS SEST,7,139932,112354,71376,FITA MFGP C/ GOMA POLIESTER COR 102,8MM,15849658,80,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,112354,FILA,
405,OK,DASS SEST,7,139932,1104263,74279,FITA MFGP C/ GOMA POLIESTER COR 447,8MM,15849658,110,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1104263,FILA,
406,OK,DASS SEST,7,139932,998349,84560,FITA MFGP C/ GOMA POLIESTER COR 142,10MM,15849658,100,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,998349,FILA,
407,OK,DASS SEST,7,139932,1287881,85789,FITA MFGP C/ GOMA POLIESTER COR 5508,8MM,15849658,100,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1287881,FILA,
408,OK,DASS SEST,7,139932,1264051,85789,FITA MFGP C/ GOMA POLIESTER COR 5508,10MM,15849658,60,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1264051,FILA,
410,OK,DASS SEST,7,139932,1397607,85854,FITA MFGP C/ GOMA POLIESTER COR 4039,10MM,15849658,20,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1397607,FILA,
411,OK,DASS SEST,7,139932,1397485,92595,FITA MFGP C/ GOMA POLIESTER COR 986,10MM,15849658,110,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1397485,FILA,
412,OK,DASS SEST,7,139932,1316829,87946,FITA M31119 C/ GOMA POLIESTER COR 100/ COR 5535/ COR 102,16MM,15849658,560,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1316829,FILA,
414,OK,DASS SEST,7,139932,1379936,92571,FITA M31119 C/ GOMA POLIESTER COR 678 / COR 100 / COR 100,16MM,15849658,120,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1379936,FILA,
415,OK,DASS SEST,7,139932,1379938,92573,FITA M31119 C/ GOMA POLIESTER COR 161 / COR 324 / COR 324,16MM,15849658,130,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1379938,FILA,
416,OK,DASS SEST,7,139932,1358279,92619,FITA M31119 C/ GOMA POLIESTER COR 5508 / COR 102 / COR 102,16MM,15849658,410,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1358279,FILA,
417,OK,DASS SEST,7,139932,1403700,92881,FITA M31119 C/ GOMA POLIESTER COR 057 / COR 114 / COR 5535,16MM,15849658,190,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1403700,FILA,
418,OK,DASS SEST,7,139932,1401826,95145,FITA M31119 C/ GOMA POLIESTER COR 6002 / COR 5508 / COR 5508,16MM,15849658,250,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1401826,FILA,
419,OK,DASS SEST,7,139932,1320199,95176,FITA M31119 C/ GOMA POLIESTER COR 053 / COR 114 / COR 114,16MM,15849658,100,134608,0,22/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1320199,FILA,
428,OK,DASS SEST,7,139934,1416744,95300,FITA M31119 C/ GOMA POLIESTER COR 814 / COR 100 / COR 100,16MM,15849662,130,134610,0,22/06/2026,10/08/2026,13,,31/08/26,,10/08/2026,,#N/A,1416744,FILA,
477,OK,DASS SEST,7,140092,1271908,86226,FITA M32207 C/ GOMA POLIESTER COR 100 / COR 5535 / COR 100,15MM,15854139,50,134781,0,25/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1271908,FILA,
660,OK,DASS SEST,7,140124,1304277,88668,ATAC. MR110022 7MM RECICLADO COR 4085/PET / COR 496/PET,110CM,15855783,204,134815,15850199NBR3282866,25/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1304277,NIKE,
661,OK,DASS SEST,7,140124,1304277,88668,ATAC. MR110022 7MM RECICLADO COR 4085/PET / COR 496/PET,110CM,15855783,228,134815,15850193NBR3282879,25/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1304277,NIKE,
662,OK,DASS SEST,7,140124,1304277,88668,ATAC. MR110022 7MM RECICLADO COR 4085/PET / COR 496/PET,110CM,15855783,246,134815,15850194NBR3282879,25/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1304277,NIKE,
663,OK,DASS SEST,7,140124,1304277,88668,ATAC. MR110022 7MM RECICLADO COR 4085/PET / COR 496/PET,110CM,15855783,986,134815,15850204NBR3282907,25/06/2026,10/08/2026,13,,10/08/26,,,,#N/A,1304277,NIKE,
664,OK,DASS SEST,7,140124,1304277,88668,ATAC. MR110022 7MM RECICLADO COR 4085/PET / COR 496/PET,115CM,15855783,662,134815,15850199NBR3282866,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1304277,NIKE,
665,OK,DASS SEST,7,140124,1304277,88668,ATAC. MR110022 7MM RECICLADO COR 4085/PET / COR 496/PET,115CM,15855783,681,134815,15850193NBR3282879,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1304277,NIKE,
666,OK,DASS SEST,7,140124,1304277,88668,ATAC. MR110022 7MM RECICLADO COR 4085/PET / COR 496/PET,115CM,15855783,684,134815,15850194NBR3282879,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1304277,NIKE,
667,OK,DASS SEST,7,140124,1304277,88668,ATAC. MR110022 7MM RECICLADO COR 4085/PET / COR 496/PET,115CM,15855783,24,134815,15850204NBR3282907,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1304277,NIKE,
668,OK,DASS SEST,7,140124,1304277,88668,ATAC. MR110022 7MM RECICLADO COR 4085/PET / COR 496/PET,120CM,15855783,150,134815,15850199NBR3282866,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1304277,NIKE,
669,OK,DASS SEST,7,140124,1304277,88668,ATAC. MR110022 7MM RECICLADO COR 4085/PET / COR 496/PET,120CM,15855783,168,134815,15850193NBR3282879,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1304277,NIKE,
670,OK,DASS SEST,7,140124,1304277,88668,ATAC. MR110022 7MM RECICLADO COR 4085/PET / COR 496/PET,120CM,15855783,192,134815,15850194NBR3282879,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1304277,NIKE,
671,OK,DASS SEST,7,140124,1315210,88700,ATAC. MR110022 7MM RECICLADO COR 4662/PET,110CM,15855783,216,134815,15850195NBR3282880,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1315210,NIKE,
672,OK,DASS SEST,7,140124,1315210,88700,ATAC. MR110022 7MM RECICLADO COR 4662/PET,110CM,15855783,240,134815,15850196NBR3282880,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1315210,NIKE,
673,OK,DASS SEST,7,140124,1315210,88700,ATAC. MR110022 7MM RECICLADO COR 4662/PET,115CM,15855783,590,134815,15850195NBR3282880,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1315210,NIKE,
674,OK,DASS SEST,7,140124,1315210,88700,ATAC. MR110022 7MM RECICLADO COR 4662/PET,115CM,15855783,588,134815,15850196NBR3282880,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1315210,NIKE,
675,OK,DASS SEST,7,140124,1315210,88700,ATAC. MR110022 7MM RECICLADO COR 4662/PET,120CM,15855783,120,134815,15850195NBR3282880,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1315210,NIKE,
676,OK,DASS SEST,7,140124,1315210,88700,ATAC. MR110022 7MM RECICLADO COR 4662/PET,120CM,15855783,138,134815,15850196NBR3282880,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1315210,NIKE,
677,OK,DASS SEST,7,140124,1413117,95026,ATAC. MR110022 7MM RECICLADO COR 6146/PET / COR 492/PET,110CM,15855783,210,134815,15850241NBR3282878,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1413117,NIKE,
678,OK,DASS SEST,7,140124,1413117,95026,ATAC. MR110022 7MM RECICLADO COR 6146/PET / COR 492/PET,115CM,15855783,698,134815,15850241NBR3282878,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1413117,NIKE,
679,OK,DASS SEST,7,140124,1413117,95026,ATAC. MR110022 7MM RECICLADO COR 6146/PET / COR 492/PET,120CM,15855783,150,134815,15850241NBR3282878,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1413117,NIKE,
680,OK,DASS SEST,7,140124,1424201,95897,ATAC. MR110022 7MM RECICLADO COR 4662/PET / COR 4638/PET,110CM,15855783,746,134815,15850255NBR3282876,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1424201,NIKE,
681,OK,DASS SEST,7,140124,1424201,95897,ATAC. MR110022 7MM RECICLADO COR 4662/PET / COR 4638/PET,110CM,15855783,804,134815,15850256NBR3282876,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1424201,NIKE,
682,OK,DASS SEST,7,140124,1424201,95897,ATAC. MR110022 7MM RECICLADO COR 4662/PET / COR 4638/PET,110CM,15855783,1035,134815,15850257NBR3282931,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1424201,NIKE,
683,OK,DASS SEST,7,140124,1424201,95897,ATAC. MR110022 7MM RECICLADO COR 4662/PET / COR 4638/PET,110CM,15855783,1068,134815,15850258NBR3282931,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1424201,NIKE,
684,OK,DASS SEST,7,140124,1424201,95897,ATAC. MR110022 7MM RECICLADO COR 4662/PET / COR 4638/PET,115CM,15855783,24,134815,15850255NBR3282876,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1424201,NIKE,
685,OK,DASS SEST,7,140124,1424201,95897,ATAC. MR110022 7MM RECICLADO COR 4662/PET / COR 4638/PET,115CM,15855783,18,134815,15850257NBR3282931,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1424201,NIKE,
686,OK,DASS SEST,7,140124,1424201,95897,ATAC. MR110022 7MM RECICLADO COR 4662/PET / COR 4638/PET,115CM,15855783,12,134815,15850258NBR3282931,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1424201,NIKE,
687,OK,DASS SEST,7,140124,1424204,95898,ATAC. MR110022 7MM RECICLADO COR 6222/PET / COR 4259/PET,110CM,15855783,168,134815,15850249NBR3282881,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1424204,NIKE,
688,OK,DASS SEST,7,140124,1424204,95898,ATAC. MR110022 7MM RECICLADO COR 6222/PET / COR 4259/PET,110CM,15855783,186,134815,15850250NBR3282881,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1424204,NIKE,
689,OK,DASS SEST,7,140124,1424204,95898,ATAC. MR110022 7MM RECICLADO COR 6222/PET / COR 4259/PET,115CM,15855783,608,134815,15850249NBR3282881,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1424204,NIKE,
690,OK,DASS SEST,7,140124,1424204,95898,ATAC. MR110022 7MM RECICLADO COR 6222/PET / COR 4259/PET,115CM,15855783,606,134815,15850250NBR3282881,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1424204,NIKE,
691,OK,DASS SEST,7,140124,1424204,95898,ATAC. MR110022 7MM RECICLADO COR 6222/PET / COR 4259/PET,120CM,15855783,120,134815,15850249NBR3282881,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1424204,NIKE,
692,OK,DASS SEST,7,140124,1424204,95898,ATAC. MR110022 7MM RECICLADO COR 6222/PET / COR 4259/PET,120CM,15855783,138,134815,15850250NBR3282881,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1424204,NIKE,
693,OK,DASS SEST,7,140124,1424203,95899,ATAC. MR110022 7MM RECICLADO COR 4085/PET / COR 422/PET,110CM,15855783,986,134815,15850254NBR3282864,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1424203,NIKE,
694,OK,DASS SEST,7,140124,1424203,95899,ATAC. MR110022 7MM RECICLADO COR 4085/PET / COR 422/PET,115CM,15855783,30,134815,15850254NBR3282864,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1424203,NIKE,
695,OK,DASS SEST,7,140124,1424205,95900,ATAC. MR110022 7MM RECICLADO COR 057/PET / COR 5946/PET,110CM,15855783,216,134815,15850245NBR3282852,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1424205,NIKE,
696,OK,DASS SEST,7,140124,1424205,95900,ATAC. MR110022 7MM RECICLADO COR 057/PET / COR 5946/PET,110CM,15855783,228,134815,15850246NBR3282852,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1424205,NIKE,
697,OK,DASS SEST,7,140124,1424205,95900,ATAC. MR110022 7MM RECICLADO COR 057/PET / COR 5946/PET,115CM,15855783,741,134815,15850245NBR3282852,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1424205,NIKE,
698,OK,DASS SEST,7,140124,1424205,95900,ATAC. MR110022 7MM RECICLADO COR 057/PET / COR 5946/PET,115CM,15855783,744,134815,15850246NBR3282852,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1424205,NIKE,
699,OK,DASS SEST,7,140124,1424205,95900,ATAC. MR110022 7MM RECICLADO COR 057/PET / COR 5946/PET,120CM,15855783,144,134815,15850245NBR3282852,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1424205,NIKE,
700,OK,DASS SEST,7,140124,1424205,95900,ATAC. MR110022 7MM RECICLADO COR 057/PET / COR 5946/PET,120CM,15855783,150,134815,15850246NBR3282852,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1424205,NIKE,
701,OK,DASS SEST,7,140125,1188919,82628,ATAC. MR140014 6MM RECICLADO COR 4085/PET,100CM,15859151,240,134816,15858549NBR3282924,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1188919,NIKE,
702,OK,DASS SEST,7,140125,1188919,82628,ATAC. MR140014 6MM RECICLADO COR 4085/PET,100CM,15859151,270,134816,15858551NBR3282924,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1188919,NIKE,
703,OK,DASS SEST,7,140125,1188919,82628,ATAC. MR140014 6MM RECICLADO COR 4085/PET,100CM,15859151,240,134816,15858552NBR3282930,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1188919,NIKE,
704,OK,DASS SEST,7,140125,1188919,82628,ATAC. MR140014 6MM RECICLADO COR 4085/PET,100CM,15859151,270,134816,15858553NBR3282930,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1188919,NIKE,
705,OK,DASS SEST,7,140125,1188919,82628,ATAC. MR140014 6MM RECICLADO COR 4085/PET,100CM,15859151,240,134816,15858554NBR3282934,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1188919,NIKE,
706,OK,DASS SEST,7,140125,1188919,82628,ATAC. MR140014 6MM RECICLADO COR 4085/PET,100CM,15859151,270,134816,15858555NBR3282934,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1188919,NIKE,
707,OK,DASS SEST,7,140125,1188919,82628,ATAC. MR140014 6MM RECICLADO COR 4085/PET,105CM,15859151,843,134816,15858549NBR3282924,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1188919,NIKE,
708,OK,DASS SEST,7,140125,1188919,82628,ATAC. MR140014 6MM RECICLADO COR 4085/PET,105CM,15859151,888,134816,15858551NBR3282924,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1188919,NIKE,
709,OK,DASS SEST,7,140125,1188919,82628,ATAC. MR140014 6MM RECICLADO COR 4085/PET,105CM,15859151,855,134816,15858552NBR3282930,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1188919,NIKE,
710,OK,DASS SEST,7,140125,1188919,82628,ATAC. MR140014 6MM RECICLADO COR 4085/PET,105CM,15859151,882,134816,15858553NBR3282930,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1188919,NIKE,
711,OK,DASS SEST,7,140125,1188919,82628,ATAC. MR140014 6MM RECICLADO COR 4085/PET,105CM,15859151,843,134816,15858554NBR3282934,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1188919,NIKE,
712,OK,DASS SEST,7,140125,1188919,82628,ATAC. MR140014 6MM RECICLADO COR 4085/PET,105CM,15859151,888,134816,15858555NBR3282934,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1188919,NIKE,
713,OK,DASS SEST,7,140125,1188919,82628,ATAC. MR140014 6MM RECICLADO COR 4085/PET,110CM,15859151,24,134816,15858549NBR3282924,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1188919,NIKE,
714,OK,DASS SEST,7,140125,1188919,82628,ATAC. MR140014 6MM RECICLADO COR 4085/PET,110CM,15859151,24,134816,15858552NBR3282930,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1188919,NIKE,
715,OK,DASS SEST,7,140125,1188919,82628,ATAC. MR140014 6MM RECICLADO COR 4085/PET,110CM,15859151,24,134816,15858554NBR3282934,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1188919,NIKE,
716,OK,DASS SEST,7,140125,1301800,88695,ATAC. MR130027 6MM RECICLADO COR 4662/PET,105CM,15859151,450,134816,15856856NBR3282856,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1301800,NIKE,
717,OK,DASS SEST,7,140125,1301800,88695,ATAC. MR130027 6MM RECICLADO COR 4662/PET,110CM,15859151,542,134816,15856856NBR3282856,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1301800,NIKE,
718,OK,DASS SEST,7,140125,1301800,88695,ATAC. MR130027 6MM RECICLADO COR 4662/PET,115CM,15859151,18,134816,15856856NBR3282856,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1301800,NIKE,
719,OK,DASS SEST,7,140125,1409834,93450,ATAC. MR130027 6MM RECICLADO COR 057/PET,110CM,15859151,132,134816,15856849NBR3282937,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1409834,NIKE,
720,OK,DASS SEST,7,140125,1409834,93450,ATAC. MR130027 6MM RECICLADO COR 057/PET,110CM,15859151,138,134816,15856850NBR3282937,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1409834,NIKE,
721,OK,DASS SEST,7,140125,1409834,93450,ATAC. MR130027 6MM RECICLADO COR 057/PET,110CM,15859151,132,134816,15856851NBR3282937,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1409834,NIKE,
722,OK,DASS SEST,7,140125,1409834,93450,ATAC. MR130027 6MM RECICLADO COR 057/PET,115CM,15859151,759,134816,15856849NBR3282937,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1409834,NIKE,
723,OK,DASS SEST,7,140125,1409834,93450,ATAC. MR130027 6MM RECICLADO COR 057/PET,115CM,15859151,564,134816,15856850NBR3282937,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1409834,NIKE,
724,OK,DASS SEST,7,140125,1409834,93450,ATAC. MR130027 6MM RECICLADO COR 057/PET,115CM,15859151,396,134816,15856851NBR3282937,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1409834,NIKE,
725,OK,DASS SEST,7,140125,1409834,93450,ATAC. MR130027 6MM RECICLADO COR 057/PET,120CM,15859151,156,134816,15856849NBR3282937,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1409834,NIKE,
726,OK,DASS SEST,7,140125,1409834,93450,ATAC. MR130027 6MM RECICLADO COR 057/PET,120CM,15859151,156,134816,15856850NBR3282937,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1409834,NIKE,
727,OK,DASS SEST,7,140125,1409834,93450,ATAC. MR130027 6MM RECICLADO COR 057/PET,120CM,15859151,174,134816,15856851NBR3282937,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1409834,NIKE,
728,OK,DASS SEST,7,140125,1426514,95893,ATAC. MR130027 6MM RECICLADO COR 6249/PET,110CM,15859151,84,134816,15856847NBR3282883,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1426514,NIKE,
729,OK,DASS SEST,7,140125,1426514,95893,ATAC. MR130027 6MM RECICLADO COR 6249/PET,110CM,15859151,96,134816,15856848NBR3282883,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1426514,NIKE,
730,OK,DASS SEST,7,140125,1426514,95893,ATAC. MR130027 6MM RECICLADO COR 6249/PET,115CM,15859151,452,134816,15856847NBR3282883,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1426514,NIKE,
731,OK,DASS SEST,7,140125,1426514,95893,ATAC. MR130027 6MM RECICLADO COR 6249/PET,115CM,15859151,462,134816,15856848NBR3282883,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1426514,NIKE,
732,OK,DASS SEST,7,140125,1426514,95893,ATAC. MR130027 6MM RECICLADO COR 6249/PET,120CM,15859151,144,134816,15856847NBR3282883,25/06/2026,10/08/2026,13,,10/08/2026,,,,#N/A,1426514,NIKE,
