,,,,,,,20/08/2026,RELATÓRIO BAHIA ATUALIZADO,,,,20/08/2026,,EM VERDE DATA REPROGRAMADA,,20/08/2026,,,,,,,,
,,,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,20/08/2026 07:24:46,,,,DÚVIDA CLICA AQUI,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,
Coluna 1,cartela,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,LOTES,código OS,DT. RECEBIMENTO,DT. ENTREGA,PRAZO,POSIÇÃO NA PRODUÇÃO,DATA SISTEMA,Coluna 2,DATA ALTERADA,cartelas,CÓDIGO ALTERADO,Column 24,códigos do sistema,conta e ordem
1,OK,DASS SEST,7,139045,1320254,91023,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1320254,FILA,
2,OK,DASS SEST,7,139045,1353470,92963,FITA M31119 C/ GOMA POLIESTER COR 102 / COR 100 / COR 100,16MM,15757165,270,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1353470,FILA,
3,OK,DASS SEST,7,139046,1423777,95490,ATAC. M60132 ALPINA COR 2001,135CM,15757173,216,133757,15744418SBF806248,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1423777,FILA,
4,OK,DASS SEST,7,139046,1423777,95490,ATAC. M60132 ALPINA COR 2001,145CM,15757173,216,133757,15744418SBF806248,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1423777,FILA,
53,OK,DASS SEST,7,139045,1220522,82626,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1220522,FILA,
54,OK,DASS SEST,7,139045,1220522,82626,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1220522,FILA,
55,OK,DASS SEST,7,139045,1359543,95706,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1359543,FILA,
80,OK,DASS SEST,7,139045,1359543,95706,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1359543,FILA,
81,OK,DASS SEST,7,139045,1411433,95384,FITA M31119 C/ GOMA POLIESTER COR 102 / COR 100 / COR 100,16MM,15757165,270,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1411433,FILA,
82,OK,DASS SEST,7,139046,1316829,87946,ATAC. M60132 ALPINA COR 2001,135CM,15757173,216,133757,15744418SBF806248,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1316829,FILA,
131,OK,DASS SEST,7,139045,1200469,74007,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1200469,FILA,
132,OK,DASS SEST,7,139045,1247438,83739,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1247438,FILA,
133,OK,DASS SEST,7,139045,1200469,74007,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1200469,FILA,
134,OK,DASS SEST,7,139045,1247438,83739,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1247438,FILA,
157,OK,DASS SEST,7,139045,1200469,74007,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1200469,FILA,
158,OK,DASS SEST,7,139045,1259457,86840,FITA M31119 C/ GOMA POLIESTER COR 102 / COR 100 / COR 100,16MM,15757165,270,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1259457,FILA,
159,OK,DASS SEST,7,139046,1200469,74007,ATAC. M60132 ALPINA COR 2001,135CM,15757173,216,133757,15744418SBF806248,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1200469,FILA,
169,OK,DASS SEST,7,139045,1200469,74007,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1200469,FILA,
170,OK,DASS SEST,7,139045,1247438,83739,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1247438,FILA,
191,OK,DASS SEST,7,139045,1316829,87946,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1316829,FILA,
192,OK,DASS SEST,7,139045,1320254,91023,FITA M31119 C/ GOMA POLIESTER COR 102 / COR 100 / COR 100,16MM,15757165,270,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1320254,FILA,
193,OK,DASS SEST,7,139046,1353470,92963,ATAC. M60132 ALPINA COR 2001,135CM,15757173,216,133757,15744418SBF806248,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1353470,FILA,
194,OK,DASS SEST,7,139046,1316829,87946,ATAC. M60132 ALPINA COR 2001,145CM,15757173,216,133757,15744418SBF806248,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1316829,FILA,
206,OK,DASS SEST,7,139045,1316829,87946,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1316829,FILA,
207,OK,DASS SEST,7,139045,1320158,91407,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1320158,FILA,
208,OK,DASS SEST,7,139045,1416741,95302,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1416741,FILA,
223,OK,DASS SEST,7,139045,1316829,87946,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1316829,FILA,
224,OK,DASS SEST,7,139045,1320254,91023,FITA M31119 C/ GOMA POLIESTER COR 102 / COR 100 / COR 100,16MM,15757165,270,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1320254,FILA,
225,OK,DASS SEST,7,139046,1353470,92963,ATAC. M60132 ALPINA COR 2001,135CM,15757173,216,133757,15744418SBF806248,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1353470,FILA,
226,OK,DASS SEST,7,139046,1400623,95146,ATAC. M60132 ALPINA COR 2001,145CM,15757173,216,133757,15744418SBF806248,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1400623,FILA,
280,OK,DASS SEST,7,139045,1220520,82624,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1220520,FILA,
281,OK,DASS SEST,7,139045,1220520,82624,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1220520,FILA,
282,OK,DASS SEST,7,139045,1359567,92356,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1359567,FILA,
283,OK,DASS SEST,7,139045,1187785,74236,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1187785,FILA,
284,OK,DASS SEST,7,139045,1342875,89905,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1342875,FILA,
285,OK,DASS SEST,7,139045,1181716,74237,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1181716,FILA,
286,OK,DASS SEST,7,139045,1194659,82625,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1194659,FILA,
287,OK,DASS SEST,7,139045,1342875,89905,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1342875,FILA,
288,OK,DASS SEST,7,139045,1194659,82625,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1194659,FILA,
303,OK,DASS SEST,7,139045,1220520,82624,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1220520,FILA,
328,OK,DASS SEST,7,139045,1220520,82624,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1220520,FILA,
329,OK,DASS SEST,7,139045,1142481,73127,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1142481,FILA,
330,OK,DASS SEST,7,139045,1359564,90803,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1359564,FILA,
331,OK,DASS SEST,7,139045,1220520,82624,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1220520,FILA,
332,OK,DASS SEST,7,139045,1200469,74007,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1200469,FILA,
333,OK,DASS SEST,7,139045,1233820,84961,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1233820,FILA,
334,OK,DASS SEST,7,139045,1142481,73127,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1142481,FILA,
335,OK,DASS SEST,7,139045,1424989,94242,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1424989,FILA,
336,OK,DASS SEST,7,139045,1200469,74007,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1200469,FILA,
337,OK,DASS SEST,7,139045,1142481,73127,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1142481,FILA,
338,OK,DASS SEST,7,139045,1359564,90803,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1359564,FILA,
339,OK,DASS SEST,7,139045,1425159,94239,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1425159,FILA,
892,OK,DASS SEST,7,139045,1316829,87946,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1316829,FILA,
893,OK,DASS SEST,7,139045,1324887,88286,FITA M31119 C/ GOMA POLIESTER COR 102 / COR 100 / COR 100,16MM,15757165,270,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1324887,FILA,
894,OK,DASS SEST,7,139046,1324782,88618,ATAC. M60132 ALPINA COR 2001,135CM,15757173,216,133757,15744418SBF806248,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1324782,FILA,
895,OK,DASS SEST,7,139046,1379936,92571,ATAC. M60132 ALPINA COR 2001,145CM,15757173,216,133757,15744418SBF806248,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1379936,FILA,
908,OK,DASS SEST,7,139045,1316829,87946,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1316829,FILA,
909,OK,DASS SEST,7,139045,1324887,88286,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1324887,FILA,
910,OK,DASS SEST,7,139045,1401826,95145,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1401826,FILA,
911,OK,DASS SEST,7,139045,1400623,95146,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1400623,FILA,
916,OK,DASS SEST,7,139045,1416744,95300,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1416744,FILA,
917,OK,DASS SEST,7,139045,1353470,92963,FITA M31119 C/ GOMA POLIESTER COR 102 / COR 100 / COR 100,16MM,15757165,270,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1353470,FILA,
918,OK,DASS SEST,7,139046,1320158,91407,ATAC. M60132 ALPINA COR 2001,135CM,15757173,216,133757,15744418SBF806248,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1320158,FILA,
1219,OK,DASS SEST,7,139045,965421,74014,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,965421,FILA,
1220,OK,DASS SEST,7,139045,1341133,91535,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1341133,FILA,
1221,OK,DASS SEST,7,139045,965421,74014,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,965421,FILA,
1222,OK,DASS SEST,7,139045,1181716,74237,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1181716,FILA,
1223,OK,DASS SEST,7,139045,1194659,82625,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1194659,FILA,
1224,OK,DASS SEST,7,139045,1181716,74237,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1181716,FILA,
1225,OK,DASS SEST,7,139045,1194659,82625,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1194659,FILA,
1226,OK,DASS SEST,7,139045,1194659,82625,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1194659,FILA,
1239,OK,DASS SEST,7,139045,1271908,86226,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1271908,FILA,
1240,OK,DASS SEST,7,139045,1289388,87886,FITA M31119 C/ GOMA POLIESTER COR 102 / COR 100 / COR 100,16MM,15757165,270,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1289388,FILA,
1241,OK,DASS SEST,7,139046,1271907,92959,ATAC. M60132 ALPINA COR 2001,135CM,15757173,216,133757,15744418SBF806248,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1271907,FILA,
1242,OK,DASS SEST,7,139046,1287981,87581,ATAC. M60132 ALPINA COR 2001,145CM,15757173,216,133757,15744418SBF806248,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1287981,FILA,
1268,OK,DASS SEST,7,139045,1065278,74237,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1065278,FILA,
1269,OK,DASS SEST,7,139045,1065278,74237,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1065278,FILA,
1294,OK,DASS SEST,7,139045,1065278,74237,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1065278,FILA,
1403,OK,DASS SEST,7,139045,108955,70164,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,108955,FILA,
1404,OK,DASS SEST,7,139045,1081588,73589,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1081588,FILA,
1405,OK,DASS SEST,7,139045,1104264,74030,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1104264,FILA,
1406,OK,DASS SEST,7,139045,112354,71376,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,112354,FILA,
1407,OK,DASS SEST,7,139045,1146621,78187,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1146621,FILA,
1408,OK,DASS SEST,7,139045,1353470,92963,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1353470,FILA,
1409,OK,DASS SEST,7,139045,1320199,95176,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1320199,FILA,
1410,OK,DASS SEST,7,139045,1104263,74279,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1104263,FILA,
1411,OK,DASS SEST,7,139045,1146621,78187,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1146621,FILA,
1412,OK,DASS SEST,7,139045,1406202,92300,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1406202,FILA,
1413,OK,DASS SEST,7,139045,1417375,93286,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1417375,FILA,
1414,OK,DASS SEST,7,139045,1320199,95176,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1320199,FILA,
1415,OK,DASS SEST,7,139045,1416908,95301,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1416908,FILA,
1416,OK,DASS SEST,7,139045,1406217,95486,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1406217,FILA,
1417,OK,DASS SEST,7,139045,1406222,95712,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1406222,FILA,
1418,OK,DASS SEST,7,139045,1416744,95300,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1416744,FILA,
1419,OK,DASS SEST,7,139045,1416741,95302,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1416741,FILA,
1420,OK,DASS SEST,7,139045,1416741,95302,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1416741,FILA,
1421,OK,DASS SEST,7,139045,1416741,95302,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1416741,FILA,
1422,OK,DASS SEST,7,139045,108955,70164,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,108955,FILA,
1423,OK,DASS SEST,7,139045,1081588,73589,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1081588,FILA,
1424,OK,DASS SEST,7,139045,1287882,85997,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1287882,FILA,
1425,OK,DASS SEST,7,139045,108955,70164,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,108955,FILA,
1426,OK,DASS SEST,7,139045,1287882,85997,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1287882,FILA,
1427,OK,DASS SEST,7,139045,1316853,87520,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1316853,FILA,
1428,OK,DASS SEST,7,139045,1360138,90526,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1360138,FILA,
1429,OK,DASS SEST,7,139045,1324891,88266,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1324891,FILA,
1430,OK,DASS SEST,7,139045,1360126,92964,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1360126,FILA,
1431,OK,DASS SEST,7,139045,1271908,86226,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1271908,FILA,
1432,OK,DASS SEST,7,139045,1287981,87581,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1287981,FILA,
1433,OK,DASS SEST,7,139045,1394708,92487,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1394708,FILA,
1434,OK,DASS SEST,7,139045,1245602,93556,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1245602,FILA,
1435,OK,DASS SEST,7,139045,1356824,90475,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/26,,20/08/2026,,#N/A,1356824,FILA,
